id,group_id,student_id,lesson_id,date,day,status,created_at,updated_at
171,10,55,442,2025-02-12,Wednesday,Absent,2025-02-12 07:48:51,2025-02-12 07:48:51
172,7,17,408,2025-02-12,Wednesday,Present,2025-02-12 15:43:27,2025-02-12 15:43:27
173,7,19,408,2025-02-12,Wednesday,Present,2025-02-12 15:43:27,2025-02-12 15:43:27
174,7,22,408,2025-02-12,Wednesday,Present,2025-02-12 15:43:27,2025-02-12 15:43:27
175,7,25,408,2025-02-12,Wednesday,Present,2025-02-12 15:43:27,2025-02-12 15:43:27
176,7,27,408,2025-02-12,Wednesday,Present,2025-02-12 15:43:27,2025-02-12 15:43:27
177,7,29,408,2025-02-12,Wednesday,Present,2025-02-12 15:43:27,2025-02-12 15:43:27
178,7,31,408,2025-02-12,Wednesday,Present,2025-02-12 15:43:27,2025-02-12 15:43:27
179,7,33,408,2025-02-12,Wednesday,Present,2025-02-12 15:43:27,2025-02-12 15:43:27
180,2,39,195,2025-02-13,Thursday,Present,2025-02-13 05:26:40,2025-02-13 05:26:40
182,8,35,415,2025-02-14,Friday,Present,2025-02-13 10:20:06,2025-02-13 10:20:06
183,8,37,415,2025-02-14,Friday,Present,2025-02-13 10:20:06,2025-02-13 10:20:06
184,8,56,415,2025-02-14,Friday,Present,2025-02-13 10:20:06,2025-02-13 10:20:06
185,8,58,415,2025-02-14,Friday,Present,2025-02-13 10:20:06,2025-02-13 10:20:06
186,8,59,415,2025-02-14,Friday,Present,2025-02-13 10:20:06,2025-02-13 10:20:06
187,5,39,389,2025-02-04,Tuesday,Present,2025-02-13 10:48:17,2025-02-13 10:48:17
190,10,55,498,2025-02-14,Friday,Present,2025-02-14 10:14:48,2025-02-14 10:14:48
191,10,39,498,2025-02-14,Friday,Absent,2025-02-14 10:14:48,2025-02-14 10:14:48
195,2,39,206,2025-02-15,Saturday,Present,2025-02-14 13:05:01,2025-02-14 13:05:01
197,10,39,504,2025-02-11,Tuesday,Present,2025-02-15 05:30:40,2025-02-15 05:30:40
198,10,55,504,2025-02-11,Tuesday,Present,2025-02-15 05:30:40,2025-02-15 05:30:40
199,18,39,29,2025-02-18,Tuesday,Present,2025-02-17 07:23:08,2025-02-17 07:23:08
200,18,55,29,2025-02-18,Tuesday,Absent,2025-02-17 07:23:08,2025-02-17 07:23:08
213,18,39,40,2025-02-11,Tuesday,Present,2025-02-17 08:02:23,2025-02-17 08:02:23
214,18,55,40,2025-02-11,Tuesday,Present,2025-02-17 08:02:23,2025-02-17 08:02:23
215,21,71,381,2025-04-08,Tuesday,Present,2025-02-17 11:48:37,2025-02-17 11:48:37
216,21,73,381,2025-04-08,Tuesday,Absent,2025-02-17 11:48:37,2025-02-17 11:48:37
229,16,54,372,2025-02-20,Thursday,Present,2025-02-17 12:33:47,2025-02-17 12:33:47
230,16,69,372,2025-02-20,Thursday,Present,2025-02-17 12:33:47,2025-02-17 12:33:47
231,16,76,372,2025-02-20,Thursday,Present,2025-02-17 12:33:47,2025-02-17 12:33:47
232,16,75,372,2025-02-20,Thursday,Absent,2025-02-17 12:33:47,2025-02-17 12:33:47
233,16,77,372,2025-02-20,Thursday,Absent,2025-02-17 12:33:47,2025-02-17 12:33:47
234,16,78,372,2025-02-20,Thursday,Absent,2025-02-17 12:33:47,2025-02-17 12:33:47
235,20,76,445,2025-02-19,Wednesday,Present,2025-02-18 05:14:36,2025-02-18 05:14:36
236,20,70,445,2025-02-19,Wednesday,Present,2025-02-18 05:14:36,2025-02-18 05:14:36
237,20,77,445,2025-02-19,Wednesday,Present,2025-02-18 05:14:36,2025-02-18 05:14:36
238,20,69,445,2025-02-19,Wednesday,Absent,2025-02-18 05:14:36,2025-02-18 05:14:36
241,13,39,277,2025-02-19,Wednesday,Present,2025-02-18 12:39:41,2025-02-18 12:39:41
242,13,55,277,2025-02-19,Wednesday,Present,2025-02-18 12:39:41,2025-02-18 12:39:41
243,21,71,331,2025-03-04,Tuesday,Present,2025-02-18 13:50:52,2025-02-18 13:50:52
244,21,73,331,2025-03-04,Tuesday,Absent,2025-02-18 13:50:52,2025-02-18 13:50:52
245,13,39,317,2025-02-20,Thursday,Present,2025-02-19 04:58:30,2025-02-19 04:58:30
246,13,55,317,2025-02-20,Thursday,Absent,2025-02-19 04:58:30,2025-02-19 04:58:30
247,13,39,276,2025-02-21,Friday,Present,2025-02-19 05:09:14,2025-02-19 05:09:14
248,13,55,276,2025-02-21,Friday,Absent,2025-02-19 05:09:14,2025-02-19 05:09:14
